name;price
Roku Express Dispositivo Streaming Player, Full HD, Conversor Smart TV, com Controle Remoto - 3930BR; 284,05
Fire TV Stick Lite (2ª Geração) Full HD, com Controle Remoto por Voz com Alexa, Preto - B091G767YB; 269,10
Fire TV Stick Full HD, com Controle Remoto por Voz com Alexa - B08C1K6LB2; 349,99
Smart TV TCL S5400A 43 Polegadas LED FHD, HDMI e USB, Bluetooth, Wi-Fi, Android, Dolby Áudio, HDR - 43S5400A; 1.519,99
Smart TV TCL 43 Polegadas LED 4K UHD, Google TV, 3 HDMI, 1 USB, Wi-Fi, Bluetooth, HDR, Google Assistente - 43P635; 1.899,99
Fire TV Stick 4K, Streaming com Dolby Vision, Atmos e Suporte a Wi-Fi 6, Com Alexa e Comandos de TV, Preta - B0BTG69VP8; 359,99
Smart TV 32 Polegadas AOC Roku HD LED, 3 HDMI, 1 USB,  Wi-Fi - 32S5135/78G; 1.044,05
"Suporte Fixo Universal Para TV LED, LCD, 3D E Smart 14"" a 84"" - SAV-1000"; 7,90
Smart TV Philco 65 Polegadas QLED 4K, 4 HDMI, 2 USB, Dolby Vision e Dolby Atmos - PTV65G3BGTSSBL; 2.999,99
Smart TV 50 Polegadas Samsung Crystal UHD 4K, 3 HDMI, 2 USB, Bluetooth, Wi-Fi, Gaming Hub, Tela sem limites, Alexa built in - UN50CU8000GXZD; 2.564,05
Smart TV 50 Polegadas Samsung Gaming Neo QLED 4K, 4 HDMI, Mini LED, Tela sem limites, Alexa built in, Dolby Atmos - QN50QN90CAGXZD; 3.989,05
Smart TV Philco 43 Polegadas LED 4k, 3 HDMI, 2 USB, HDR, Dolby Audio - 99433034; 1.899,99
Smart TV TCL P635 65 Polegadas LED 4K UHD, HDMI e USB, Bluetooth, Wi-Fi, Android, Dolby Áudio, HDR, Reconhecimento de Voz - 65P635; 3.039,05
Smart TV Philco PTV55M8GAGCMBL 55 Polegadas QLED 4K, 4 HDMI e 2 USB, Bluetooth, Wi-Fi, Dolby Áudio, Prata - 99553057; 2.599,99
Smart TV TCL S5400AF 32 Polegadas LED FHD, HDMI e USB, Bluetooth, Wi-Fi, Android, Dolby Áudio, HDR - 32S5400A; 1.139,05
Samsung Smart Tv 50´´ Qled 4k Q60c 2023, Modo Game, Som Em Movimento, Tela Sem Limites, Design Slim, Visual Livre De Cabos 50´´; 2.659,05
Smart TV Samsung 55 Polegadas QLED 4K Q90T, HDMI, USB, Bluetooth, Wifi, Tela Sem Limites, Alexa Built In, Google Assistente - QN55Q90TDGXZD; 4.299,99
Smart TV 75 Polegadas LG 4K UHD, 3 HDMI, 2 USB, Bluetooth, Wi-Fi, ThinQ AI, Alexa, Google Assistente - 75UR8750PSA; 5.499,99
Smart TV Semp TCL 40 Polegadas LED Full HD, HDMI, USB, HDR, Modo Gaming, Google Assistant, Android, Borda Fina, Preto - 40S615; 1.614,99
Smart TV TCL 55 Polegadas LED 4K UHD, Google TV, 3 HDMI, 1 USB, Wi-Fi, Bluetooth, HDR, Google Assistente, Preto - 55P635; 2.469,05
Apple TV 4K 32GB - MXGY2BZ/A; 899,99
Dispositivo de Streaming Player Roku Express, 4K, Conversor Smart TV, HDMI, com Controle Remoto - 3940BR2; 399,99
Smart TV 70 Polegadas Samsung Crystal UHD 4K, 3 HDMI, 2 USB, Bluetooth, Wi-Fi, Gaming Hub, Tela sem limites, Alexa built in - UN70CU8000GXZD; 4.274,99
Smart TV 50 Polegadas LG 4K UHD, 3 HDMI, 2 USB, Bluetooth, Wi-Fi, ThinQ AI, Alexa, Google Assistente - 50UR8750PSA; 2.499,99
TV Philco 39 Polegadas LED, Conversor Digital, 3 HDMI, 1 USB - PTV39N87D; 1.139,99
Smart TV 65 Polegadas LG 4K NanoCell, 3 HDMI, 2 USB, Bluetooth, ThinQ AI, Alexa, Google Assistente - 65NANO77SRA; 4.299,99
Apple TV 4K 64GB - MXH02BZ/A; 759,99
Smart TV TCL 65 Polegadas QLED 4K UHD, Google TV, 3 HDMI, 2 USB, Bluetooth, Wi-Fi, Google Assistente, IA - 65C725; 4.299,99
Suporte TV Fixo ELG para TVs e Monitores, até 77 Polegadas e 50Kg, Preto - FIX400; 59,99
Smart TV LG 55 Polegadas OLED evo 4K UHD, 4 HDMI, 3 USB, Wi-Fi, Bluetooth, ThinQAI, Google Assistente, Alexa - OLED55C2PSA; 5.999,99
Smart TV TCL S5400A 40 Polegadas LED FHD, HDMI e USB, Bluetooth, Wi-Fi, Android, Dolby Áudio, HDR - 40S5400A; 1.424,99
Smart TV TCL 50 Polegadas LED 4K UHD, 3 HDMI, 1 USB, Wi-Fi, Bluetooth, HDR, Google TV, Google Assistente - 50P635; 2.279,05
Smart TV HQ 43p Full HD, HDR, Processador Quad Core, Espelhamento De Tela, Sistema Ultrasound, Tela Sem Bordas, Design Slim, Android 11 - HQSTV43N; 1.259,00
Suporte TV Articulado ELG de 32 até 75 Polegadas - A02V6N; 349,99
Smart TV Samsung 50 Polegadas 4K QLED, HDMI, USB, Modo Game, Processador IA, Pontos Quânticos, Alexa Google Assistente - QN50Q80AAGXZD; 3.499,99
Smart TV Britânia 50 Polegadas 4K UHD, 4 HDMI, 2 USB, Wi-Fi - 99503039; 1.899,99
Smart Tv 43 Aoc, LED, Full Hd, Roku 3, HDMI, 1 Usb; 1.599,00
Amazon Fire TV Stick Full HD, Wifi, Bluetooth, HDMI micro USB, Com Controle Remoto Por Voz, Com Alexa - B08c1k6lb2; 324,57
Smart TV TCL 55 Polegadas QLED 4K UHD, Android TV, 4 HDMI, 2 USB, Bluetooth, Wi-Fi, Alexa e Google Assistente, IA  - 55C825; 4.499,99
Smart TV Samsung 55 Polegadas QLED 4K, 4 HDMI, 2 USB, Wi-Fi, Bluetooth, Modo Game, IA, Alexa e Google Assistente, Preto - QN55Q80BAGXZD; 4.799,99
Suporte TV Universal ELG LCD, LED, Plasma Preto - Genius; 8,99
Smart TV TCL 55 Polegadas QLED 4K UHD, Google TV, 3 HDMI, 2 USB, Bluetooth, Wi-Fi, Alexa e Google Assistente, IA - 55C725; 3.199,99
Smart Tv Samsung 32 Pol. LED, HDR, 2 HDMI, 1 USB, Wi-Fi, Com Smart Tizen, Bivolt, Preto - UN32T4300AGXZD; 1.219,80
Suporte TV Fixo ELG para TVs e Monitores, até 43 Polegadas e 30Kg, Preto - FIX200; 18,99
Smart TV Samsung 55 Polegadas OLED 4K, 4 HDMI, Painel de Pontos Quânticos, Som em Movimento Virtual, Alexa Built in, Dolby Atmos - QN55S90CAGXZD; 5.999,99
Smart TV 65 Polegadas TCL QLED 4K UHD Mini LED, HDMI, BlueTooth, USB, Wifi, FreeSync, Google TV - 65C835; 6.299,99
Smart TV LED LG 43 Polegadas Full HD, 3 HDMI, 2 USB, Bluetooth, Wi-Fi, Active HDR, ThinQ AI - 43LM631C0SB.BWZ; 1.649,70
Suporte Multivisao Fixo Tv 14 a 84 Polegadas - Preto; 5,62
Smart TV LED HQ 32 Polegadas HD, Wi-Fi, HDMI - HQTVS32; 899,00
Smart Tv Philips 43 Polegadas, LED Full HD, Com Wi-Fi, Com 2 USB E 4 HDMI, 60Hz - 43pfg6918/78; 1.590,40
Smart TV Samsung 43 Polegadas, Crystal UHD 4K, Gaming Hub, Visual Livre De Cabos, Alexa Built In, Controle Único - 43cu7700; 2.199,00
Smart TV 50 Polegadas TCL QLED 4K UHD, 3 HDMI, 2 USB, Bluetooth, Wi-Fi, Google Assistente, Dolby Vision Atmos - 50C635; 2.799,99
Smart TV 55 Polegadas Samsung QLED 4K, 4 HDMI, 2 USB, Bluetooth, Wi-Fi, Gaming Hub, Tela sem limites, FreeSync, Alexa built in - QN55Q70CAGXZD; 3.799,99
Smart TV Samsung 85 Polegadas Crystal UHD 4K BU8000, 3 HDMI, 2 USB, Wi-Fi, Bluetooth, Alexa, Google, Tela Infinita - UN85BU8000GXZD; 8.499,99
Mi Tv Stick Xiaomi Full Hd Com Bluetooth 4.2 E Wi-fi; 289,99
Amazon Fire TV Stick Lite 2ª Geração Full HD, HDMI, Bluetooth, com Controle Remoto por Voz com Alexa - B091G767YB; 250,17
Smart TV LG 55 Polegadas LED 4K UHD NanoCell, 4 HDMI, 2 USB, Quantum Dot, FreeSync, ThinQAI Google, Alexa - 55QNED80SQA; 4.699,99
Smart TV HQ 60 Polegadas 4K, UHD, HDR, Tela Sem Bordas, Android 11, Sistema Ultrasound, Design Slim, Processador, Quad Core, Espelhamento De Tela - HQSTV60NK; 2.159,00
Smart Tv LG 50 Polegadas, 4K UHD, HDR LED, Wi-Fi, Bluetooth, Google Assistente, Alexa, Apple Airplay - 50ur871c0sa.Bwz; 2.499,00
Smart TV LED Samsung 43 Polegadas 2 HDMI, USB, Wi-Fi, Business - LH43BETMLGGXZD; 1.684,90
Smart TV Aoc  50 Polegadas DLED - VA, 4K UHD, Wi-Fi, Linha Marrom - 50u6125/78g; 2.280,37
Smart TV LG 32 Polegadas LED HD, USB, HDMI, Wi-Fi, Bluetooth, HDR 10, Thinq AI, Google Assistente Alexa - 32LQ621CBSBAWZ; 1.094,90
Smart TV LED Samsung 65 Polegadas 4K, Wi-Fi, 3 HDMI, 1 USB, Bluetooth, Crystal UHD, LH65BEAH Tizen - LH65BEAHVGGXZD; 3.819,00
Smart TV Semp 50 Polegadas LED, Ultra HD 4K, 4 HDMI, 1 USB, Wi-Fi, Roku, Compatível Com Google Assistant E Alexa - 50RK8600; 2.226,90
Antena Interna Para TV Digital HDTV, Cabo 2.5Mts, Aquário - DTV-100; 24,41
Smart TV 77 Polegadas LG 4K OLED evo, 4 HDMI, 3 USB, Bluetooth, G-Sync, FreeSync, ThinQ AI, Alexa, Google Assistente - OLED77C3PSA; 21.999,99
Smart TV 55 Polegadas Samsung Crystal UHD 4K, 3 HDMI, 2 USB, Bluetooth, Wi-Fi, Gaming Hub, Tela sem limites, Alexa built in - UN55CU8000GXZD; 2.899,99
Apple TV 4K 3ª Geração, Wi-Fi, 64GB - MN873BZ/A; 1.209,99
Smart TV Samsung 70 Polegadas, Crystal 4k UHD, 3 HDMI, 1 USB e Wi-Fi, Gaming Hub, Visual Livre De Cabos, Alexa Built In, Controle Único - 70cu7700; 4.499,00
"Suporte Fixo Tv 32"" a 84"" Stpf63 Multivisao"; 49,21
Smart TV Samsung Crystal UHD 4K 50 Polegadas Com Gaming Hub, Visual Livre De Cabos E Tela Sem Limites - 50cu7700; 2.459,90
Smart Tv 4k Samsung Crystal Uhd 50 Polegadas, Com Painel Dynamic Crystal Color, Design Airslim E Alexa Built In - 5; 2.606,62
Smart TV Buster, Led 29 Polegadas, HD Com Conversor Digital, Integrado Android, 2 HDMI, 2 USB, Wifi, Bivolt - Hbtv-29d07hd; 843,78
TV LED LG 32 Polegadas HD, 2 HDMI, 1 USB, Pro Conversor Digital, Bivolt - 32LT330HBSB; 979,90
Roku Express Streaming Player, Full HD, HDMI, Wi-fi, Com Controle Remoto - 3930br; 192,85
Suporte Fixo Para Tv E Monitor 42 A 86 Polegadas Fix600 - Elg; 139,90
Apple TV HD 32GB; 586,05
Smart TV Multi 32 Polegadas HD, Wi-Fi Integrado - TL026; 1.299,00
Google Chromecast 3, FULL HD, Smart Tv, Google; 312,55
Smart TV 55 Polegadas LG 4K OLED evo, 4 HDMI, 3 USB, Bluetooth, G-Sync, FreeSync, ThinQ AI, Alexa, Google Assistente - OLED55C3PSA; 6.999,99
Smart TV Samsung 43 Polegadas LED Full HD, 2 HDMI, 1 USB, Wi-Fi, HDR - UN43T5300AGXZD; 1.820,78
